X,Y,Curve
733346.0382,3006968.055,0
733336.2553,3006966.765,0
733326.3942,3006965.465,0
733316.6306,3006964.155,0
733306.8404,3006962.726,0
733296.9879,3006961.287,0
733287.2941,3006959.901,0
733277.4182,3006958.546,0
733267.7065,3006957.214,0
733257.9476,3006955.916,0
733248.0671,3006954.65,0
733238.3478,3006953.405,0
733228.474,3006952.101,0
733218.7144,3006950.783,0
733208.8915,3006949.456,0
733199.0617,3006948.129,0
733189.3278,3006946.818,0
733179.4347,3006945.485,0
733169.685,3006944.166,0
733159.8346,3006942.832,0
733150.0167,3006941.502,0
733140.2651,3006940.18,0
733130.3781,3006938.84,0
733120.6581,3006937.523,0
733110.7046,3006936.188,0
733100.8271,3006934.866,0
733090.9941,3006933.547,0
733081.0763,3006932.103,0
733071.3187,3006930.68,0
733061.375,3006929.241,0
733051.6106,3006927.963,0
733041.8127,3006926.682,0
733031.9425,3006925.395,0
733022.1953,3006924.155,0
733012.2503,3006922.889,0
733002.4279,3006921.591,0
732992.5824,3006920.146,0
732982.737,3006918.701,0
732972.9643,3006917.34,0
732963.0762,3006916.108,0
732953.287,3006914.89,0
732943.388,3006913.548,0
732933.524,3006912.087,0
732923.7143,3006910.636,0
732913.7305,3006909.487,0
732903.8761,3006908.572,0
732893.9029,3006907.642,0
732884.0949,3006906.53,0
732874.3377,3006905.346,0
732864.4718,3006904.145,0
732854.6326,3006902.839,0
732844.6257,3006901.492,0
732834.7493,3006900.162,0
732824.9834,3006898.865,0
732815.1096,3006897.554,0
732805.2923,3006896.246,0
732795.2827,3006894.882,0
732785.4026,3006893.536,0
732775.4692,3006892.18,0
732765.5487,3006890.824,0
732755.7221,3006889.481,0
732745.8421,3006888.187,0
732736.2335,3006887.007,0
732726.5261,3006885.815,0
732716.7564,3006884.504,0
732706.9221,3006883.095,0
732696.9553,3006881.668,0
732687.1726,3006880.365,0
732677.3079,3006879.102,0
732667.5657,3006877.857,0
732657.8213,3006876.731,0
732647.998,3006875.637,0
732638.3479,3006874.558,0
732628.5457,3006873.344,0
732618.8726,3006872.116,0
732609.2015,3006870.887,0
732599.3256,3006869.586,0
732589.5833,3006868.292,0
732579.7214,3006866.983,0
732569.895,3006865.631,0
732560.0251,3006864.265,0
732550.1653,3006862.899,0
732540.3387,3006861.449,0
732530.373,3006859.964,0
732520.5604,3006858.505,0
732510.76,3006857.194,0
732500.966,3006855.908,0
732491.2145,3006854.63,0
732481.2515,3006853.32,0
732471.4091,3006852.026,0
732461.4381,3006850.715,0
732451.608,3006849.45,0
732441.8174,3006848.197,0
732431.9188,3006846.938,0
732422.1813,3006845.973,0
732412.3391,3006845.041,0
732402.5929,3006844.113,0
732392.7239,3006843.023,0
732382.7662,3006841.901,0
732372.953,3006840.798,0
732363.0189,3006839.742,0
732353.1994,3006838.707,0
732343.2562,3006837.656,0
732333.3842,3006836.57,0
732323.5983,3006835.489,0
732313.6621,3006834.384,0
732303.9294,3006833.161,0
732294.1048,3006831.921,0
732284.3027,3006830.696,0
732274.4811,3006829.614,0
732264.5101,3006828.516,0
732254.7133,3006827.383,0
732244.9338,3006825.848,0
732235.2216,3006824.324,0
732225.5113,3006822.912,0
732215.4975,3006822.089,0
732205.6222,3006821.278,0
732195.6397,3006820.425,0
732185.8404,3006819.423,0
732176.0519,3006818.423,0
732166.1399,3006817.353,0
732156.237,3006816.059,0
732146.1718,3006814.742,0
